judet,data,categorie_pers,total_doze,astra,pfizer,moderna
Botosani,toate,3,159,3,40,116
Botosani,toate,toate,10182,965,7666,1551
Braila,2021-03-01,1,6,4,2,0
Braila,2021-03-01,2,404,70,334,0
Braila,2021-03-01,3,0,0,0,0
Braila,2021-03-01,toate,410,74,336,0
Braila,2021-03-02,1,18,5,13,0
Braila,2021-03-02,2,392,69,323,0
Braila,2021-03-02,3,0,0,0,0
Braila,2021-03-02,toate,410,74,336,0
Braila,2021-03-03,1,20,2,18,0
Braila,2021-03-03,2,409,62,347,0
Braila,2021-03-03,3,0,0,0,0
Braila,2021-03-03,toate,429,64,365,0
Braila,2021-03-04,1,14,3,11,0
Braila,2021-03-04,2,549,60,330,159
Braila,2021-03-04,3,1,1,0,0
Braila,2021-03-04,toate,564,64,341,159
Braila,2021-03-05,1,31,10,21,0
Braila,2021-03-05,2,615,71,416,128
Braila,2021-03-05,3,0,0,0,0
Braila,2021-03-05,toate,646,81,437,128
Braila,2021-03-06,1,30,6,24,0
Braila,2021-03-06,2,574,64,402,108
Braila,2021-03-06,3,0,0,0,0
Braila,2021-03-06,toate,604,70,426,108
Braila,2021-03-07,1,53,3,47,3
Braila,2021-03-07,2,573,57,409,107
Braila,2021-03-07,3,0,0,0,0
Braila,2021-03-07,toate,626,60,456,110
Braila,2021-03-08,1,55,0,55,0
Braila,2021-03-08,2,498,53,425,20
Braila,2021-03-08,3,0,0,0,0
Braila,2021-03-08,toate,553,53,480,20
Braila,2021-03-09,1,42,3,39,0
Braila,2021-03-09,2,487,48,429,10
Braila,2021-03-09,3,0,0,0,0
Braila,2021-03-09,toate,529,51,468,10
Braila,2021-03-10,1,48,4,44,0
Braila,2021-03-10,2,690,117,544,29
Braila,2021-03-10,3,0,0,0,0
Braila,2021-03-10,toate,738,121,588,29
Braila,2021-03-11,1,34,1,33,0
Braila,2021-03-11,2,582,56,506,20
Braila,2021-03-11,3,1,0,1,0
Braila,2021-03-11,toate,617,57,540,20
Braila,2021-03-12,1,8,0,8,0
Braila,2021-03-12,2,580,52,508,20
Braila,2021-03-12,3,0,0,0,0
Braila,2021-03-12,toate,588,52,516,20
Braila,2021-03-13,1,6,0,6,0
Braila,2021-03-13,2,545,47,480,18
Braila,2021-03-13,3,0,0,0,0
Braila,2021-03-13,toate,551,47,486,18
Braila,2021-03-14,1,12,0,12,0
Braila,2021-03-14,2,562,44,498,20
Braila,2021-03-14,3,0,0,0,0
Braila,2021-03-14,toate,574,44,510,20
Braila,2021-03-15,1,30,0,30,0
Braila,2021-03-15,2,671,61,581,29
Braila,2021-03-15,3,2,1,1,0
Braila,2021-03-15,toate,703,62,612,29
Braila,2021-03-16,1,18,3,12,3
Braila,2021-03-16,2,572,37,420,115
Braila,2021-03-16,3,0,0,0,0
Braila,2021-03-16,toate,590,40,432,118
Braila,2021-03-17,1,5,1,4,0
Braila,2021-03-17,2,560,36,524,0
Braila,2021-03-17,3,1,1,0,0
Braila,2021-03-17,toate,566,38,528,0
Braila,2021-03-18,1,9,1,8,0
Braila,2021-03-18,2,512,37,475,0
Braila,2021-03-18,3,8,7,1,0
Braila,2021-03-18,toate,529,45,484,0
Braila,toate,1,439,46,387,6
Braila,toate,2,9775,1041,7951,783
Braila,toate,3,13,10,3,0
Braila,toate,toate,10227,1097,8341,789
Brasov,2021-03-01,1,56,11,45,0
